Title|Description|Vendor|Type|SKU|Price|TecovaSuite Start ID|Sizes
The Cartwright - Black|Classic western boot in black leather. Handcrafted with premium materials.|Tecovas|Boots|BOOT-CART-BLK|295.00|201|8,9,10,11,12
The Cartwright - Brown|Classic western boot in brown leather. Handcrafted with premium materials.|Tecovas|Boots|BOOT-CART-BRN|295.00|206|8,9,10,11,12
The Earl - Tan|Sophisticated roper boot in tan leather. Perfect for any occasion.|Tecovas|Boots|BOOT-EARL-TAN|345.00|211|8,9,10,11,12
The Earl - Black|Sophisticated roper boot in black leather. Perfect for any occasion.|Tecovas|Boots|BOOT-EARL-BLK|345.00|216|8,9,10,11,12
The Knox - Chocolate|Premium cowboy boot in rich chocolate leather.|Tecovas|Boots|BOOT-KNOX-CHC|365.00|221|8,9,10,11,12
The Champion - White|Statement boot in pristine white leather.|Tecovas|Boots|BOOT-CHMP-WHT|395.00|226|8,9,10,11,12
The Champion - Navy|Statement boot in deep navy leather.|Tecovas|Boots|BOOT-CHMP-NAV|395.00|231|8,9,10,11,12
The Johnny - Camel|Everyday boot in warm camel leather.|Tecovas|Boots|BOOT-JNNY-CML|275.00|236|8,9,10,11,12
The Annie - Russet|Womens western boot in russet leather.|Tecovas|Boots|BOOT-ANNS-RUS|315.00|241|6,7,8,9,10
The Wylder - Snakeskin|Exotic snakeskin boot for the bold.|Tecovas|Boots|BOOT-WYLD-SNK|425.00|246|8,9,10,11,12
Leather Belt - Brown|Premium leather belt in brown. Pairs perfectly with any boot.|Tecovas|Accessories|ACC-BELT-BRN|90.00|301|32,34,36,38
Leather Belt - Black|Premium leather belt in black. Pairs perfectly with any boot.|Tecovas|Accessories|ACC-BELT-BLK|90.00|305|32,34,36,38
Boot Care Kit|Everything you need to keep your boots looking great.|Tecovas|Accessories|ACC-CARE-KIT|45.00|401|
Boot Socks 3-Pack|Comfortable boot socks pack of 3.|Tecovas|Accessories|ACC-SOCK-3PK|35.00|402|
